path,label
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger001.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger002.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger003.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger004.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger005.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger006.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger007.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger008.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger009.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger010.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger011.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger012.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger013.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger014.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger015.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger016.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger017.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger018.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger019.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger020.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger021.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger022.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger023.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger024.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger025.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger026.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger027.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger028.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger029.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger030.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger031.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger032.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger033.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger034.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger035.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger036.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger037.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger038.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger039.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger040.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger041.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger042.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger043.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger044.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger045.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger046.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger047.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger048.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger049.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger050.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger051.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger052.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger053.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger054.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger055.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger056.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger057.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger058.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger059.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger060.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger061.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger062.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger063.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger064.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger065.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger066.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger067.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger068.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger069.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger070.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger071.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger072.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger073.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger074.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger075.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger076.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger077.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger078.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger079.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger080.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger081.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger082.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger083.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger084.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger085.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger086.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger087.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger088.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger089.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger090.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger091.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger092.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger093.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger094.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger095.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger096.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger097.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger098.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger099.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger100.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger101.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger102.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger103.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger104.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger105.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger106.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger107.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger108.wav,1
C:\Users\lielb\PycharmProjects\NLP\Dataset\negative\anger109.wav,1
